STATE,TIN,YEAR,agg,rev,cap,soc
Himachal Pradesh,2,2013,21271.18,17352.48,3918.7,7890
Jammu & Kashmir,1,2013,31908.7,27057.77,4850.93,9810
Jharkhand,20,2013,30063.74,23431.39,6632.35,11710
Karnataka,29,2013,110648.7,89189.57,21459.13,41590
Kerala,32,2013,69369.89,60485.5,8884.39,23950
Madhya Pradesh,23,2013,89764.16,69869.76,19894.4,35740
Maharashtra,27,2013,186829.82,154902.42,31927.4,78200
Manipur,14,2013,7172.92,5718.83,1454.09,2110
Meghalaya,17,2013,6811.01,5551.59,1259.42,2720
Mizoram,15,2013,5635.93,4916.98,718.95,2300
Nagaland,13,2013,7227.16,5750.35,1476.81,2150
Odisha,21,2013,56130.92,45617.75,10513.17,24810
Punjab,3,2013,47656.37,41640.67,6015.7,13080
Rajasthan,8,2013,94101.08,75509.59,18591.49,41900
Sikkim,11,2013,4469.04,3457.96,1011.08,1690
Tamil Nadu,33,2013,134192.38,109824.67,24367.71,55120
Tripura,16,2013,7825.38,5948.96,1876.42,3250
Uttar Pradesh,9,2013,200720.05,158146.87,42573.18,76560
Uttarakhand,5,2013,21523.23,16216.41,5306.82,9380
West Bengal,19,2013,108513.39,91797.27,16716.12,45580
Andhra Pradesh ,37,2014,111067.46,98308.63,12758.83,46150
Arunachal Pradesh,12,2014,11482.51,8522.8,2959.71,4150
Assam,18,2014,64979.96,52429.18,12550.78,28280
Bihar,10,2014,132186.89,100254.89,31932,67080
Chhattisgarh,22,2014,55979.35,46665.43,9313.92,30350
Goa,30,2014,10131.41,7953.96,2177.45,3800
Gujarat,24,2014,125490.25,92597.89,32892.36,51980
Haryana,6,2014,63772.43,54919.09,8853.34,26670
Himachal Pradesh,2,2014,24894.61,20445.03,4449.58,9560
Jammu & Kashmir,1,2014,42471.21,31050.59,11420.62,13540
Jharkhand,20,2014,50839.55,40073.33,10766.22,24530
Karnataka,29,2014,132835.44,108747.62,24087.82,56740
Kerala,32,2014,82947.71,73852.31,9095.4,31400
Madhya Pradesh,23,2014,123389.57,98249.6,25139.97,57530
Maharashtra,27,2014,227932.63,194677.31,33255.32,100320
Manipur,14,2014,11177.67,8990.13,2187.54,4520
Meghalaya,17,2014,11893.17,9902.78,1990.39,6440
